Organization,PS_No,submissions,Problem_Statement_Title,Description,Category,Domain Bucket,Youtube Link,Dataset Link
Indian Space Research Organisation (ISRO),NM391,4,Reconstruction of missing data in Satellite Imagery,"Short Wave Infra-Red(SWIR) detectors used in satellite imaging cameras suffer from drop outs in pixel and line direction in raw data.

Develop software to reconstruct missing parts of a satellite image so that observers are unable to identify regions that have undergone reconstruction.  Study shall also compare the performance of the proposed with existing state of art technique results.",Software,Miscellaneous,,
Indian Space Research Organisation (ISRO),NM392,4,Depth Estimation of Valles Marineris using ISRO’s Mars Color Camera (MCC) images,"Valles Marineris is Grand Canyon system present along the equator of Mars. The Valles Marineris is a large tectonic crack present on the Martian crust running up-to a length of around 4000 km. Mars Color Camera (MCC) captured multiple images of Valles Marineris at varying spatial resolution which can be used to estimate the depth of the canyon system. 

Develop software to generate depth map of Valles Marineris using image captured by MCC.
Data Set link:https://vedas.sac.gov.in/vcms/en/sih2020.html",Software,Miscellaneous,,
Ministry of Railways,BB458,4,Intelligent Scanning System (Non invasive checking of passengers and their luggage at access points ),"Existing practice: 
•	Random checking of passengers is done at access points using DFMD and HHMD 
•	Random checking of passengers' luggage is done by baggage scanners 

Problems: 
•	No comprehensive checking. Passengers have to stop for checks causing congestion. 
•	Pat down checks intrude on privacy. 

Solution required: 
•	A cost effective non invasive profiling equipment with artificial intelligence tools is required so that people do not have to stop for getting checked.",Hardware,Robotics & Drones,,
Ministry of Railways,BB459,4,"Intelligent Scanning System (Non invasive, quick and cost effective way of checking of parcels in parcel offices (both booked by railway and leaseholders)","Existing practice: 
• Presently random checking of parcels by opening them. 

Problems: 
•	Not many parcels checked. Unchecked parcels may carry objectionable offensive or dangerous material. 

Solution required: 
Non-invasive, quick and cost effective way of checking of parcels in parcel offices (both booked by railway and leaseholders) is the need of hour.",Hardware,Robotics & Drones,,
Cognizant Technology Solutions India Pvt. Ltd,MS449,5,"Currently Government Schemes are not being utilized by real beneficiary, and this leads to middle man being taking advantage of situation and also leads to corruption. Self/ Supervised KIOSK based terminal for checking eligibility and also apply for scheme.","Explain the general problem statement in simple terms. 
i)	At present, government announce scheme for different section of society and direct different departments to pass on the scheme benefits to the beneficiaries, but most beneficiaries  are not aware of those schemes and middle man take advantage of such gaps.
ii)	Many website provide such information about schemes but beneficiaries do not go to internet and search for the schemes. They simply rely on the communication from well-wishers or middle man. 
iii)	Today no mechanism is in place to directly provide the benefits to the respective users.  
iv)	Lot of funds came back unutilized.   

The users of this system are two-fold:
i)	User who want to avail schemes has to fill certain details on KIOSK/POS terminal, and they will get all relevant applicable schemes in return. They can then update Aadhar card details which will actually link it to the schemes and government will know directly who want to avail the scheme. 
ii)	Approver can validate the Aadhar card and once approved, benefits can be passed on to the beneficiary without any middle man.
Technology that can address this issue partially.
i)	A multilingual Self operated, or supervised KIOSK preloaded with online application which will be linked to the government site like https://www.india.gov.in/my-government/schemes and can also notify relevant department to approve and give benefits to beneficiary. 
ii)	Basic web base multilingual application can be easily built with minimum efforts.
iii)	If scheme is related to reimbursement or some monitory help, it will be transferred to bank account directly, or if that is related to some product, it will be sent through logistic to the Aadhar address. 
Desired Outcome: 
i)	A transparent system and reduced corruption.
ii)	Wider coverage and easy to avail benefits by user or the actual needy.
iii)	Government can actually use this data online to track number of beneficiaries.



A thought from the recent Issue of Soaring Onion Prices and the need to build a better forecasting mechanism;",Hardware,Miscellaneous,,
"Central Ground Water Board, Ministry of Jal Shakti",DM83,5,"Assessment of land holding pattern, source of irrigation, cropping pattern and depth of the wells in different parts of the country","In the country, groundwater caters to 80% of the irrigation water needs since 1970. Water availability is not uniform and varies from state to state. Dugwells and tubewells are the major sources for groundwater extraction. The construction of dugwells and tubewells has been an expensive affair and has been a dream for the farmers. The affordability for construction of deep wells to get the water and its socio-economic impact needs to be studied. Agriculture census and minor irrigation census data are available at an interval of 5 years. In order to get a clear picture of the land holding pattern, irrigation source, cropping pattern and depth of the wells in the different parts of the country, a comparative assessment is required in micro/macro level i.e., block/district/state/country for the previous two census.",Software,Agriculture and Rural Development,https://youtu.be/iDgminUb9EI,https://youtu.be/iDgminUb9EI
Department of Atomic Energy,PC86,5,Fiducial localization for pre-operative planning in neurosurgery,"Preoperative planning is a phase before actual surgery procedure in which the surgeon can take all the time needed to define the surgical problem, to identify fully all the anatomical and technical aspects of the procedure, and then carefully plan the solution. In order to facilitate this, the patient is assumed to be located in a coordinate system refered to as the ‘Patient Coordinate System’(PCS), whereas the surgeon has access to pre-operative medical scans(like CT/MRI etc.) of the subject in the coordinate system refered to as the ‘Image Coordinate System’(ICS). Any procedure planned in medical scans under ICS can be transfered to patient domain by utilizing this mapping. The challenge of accurately establishing this mapping (or registration) between PCS and ICS plays a critical role in influencing the reliability of the surgery procedure itself. Currently accepted practice involves the use of special markers called the ‘fiducials’ for the purpose of estimating PCS-to-ICS mapping. Apart from establishing correspondances between the appearance of fiducials in both patient and image coordinate systems, autonomas and accurate localization of these markers in image coordinate system is an open-challenge. Currently, surgeons manually annotate and localize these fiducials or utilize semi-automatic tools provided by their treatment planning suite. The goal of this challenge is therefore, to develop fully autonomas algorithm for detection and localization of fiducials in pre-operative scans. Concretely, the participants will be provided with MRI head-scans with fiducials affixed on the skull surface and the task will be to estimate 3D coordinates of the center of these fiducials with respect to the image coordinate system. Accruacy of their algorithm will be tested on the corresponding ground-truth values and generalization will be evaluated based on unseen test data.",Software,Healthcare & Biomedical Devices,,
Department of Atomic Energy,PC89,5,Digital Imaging of Objects behind Steel walls,"Steel is a widely used material for fabrication of machinery and equipment in almost all the industries. Maintenance of these equipment may become very expensive and time consuming if it requires de-assembling, inspection and then re-assembling. So, an innovative technology can be developed which will help in machinery inspection in assembled condition by digitally imaging all the objects inside it like X-Rays for human body. This will help in identifying the cause of the malfunction of the machinery and necessary action can be taken. Solution methodology - Light waves can pass through glass walls and reflect from the objects behind it. This makes us able to see through a glass wall. Similarly, some other EM waves can pass through concrete walls. There are already many technological developments going on worldwide to use this fact to locate objects behind the concrete walls. Even, moving human body can be detected behind concrete wall upto certain distance using available technology. As EM waves cannot pass through steel walls, use of sound waves/ultrasound can be explored. Instrumentation developed (both software and hardware) should be able to detect either the sound waves generated behind steel wall or send a known sound pulse and get its echo reflected from the objects behind the wall. Developed technology can be envisaged as the multiple microphones mounted on many locations on the machinery to detect and locate the position of the object generating sound. Final outcome -  A set of compatible hardware and software is to be developed which will be able to detect and locate either the source of sound or create a digital imaging of all the objects behind the steel wall. There should be provision of adjusting the frequency transmitted and received by sensors to consider varying thickness of the wall and material of objects behind it. Challenges - Since wave propagation inside the machinery involves very little distance, time difference obtained from various objects behind the steel wall is supposed to be very less. It will be very difficult to detect and differentiate the sound signal obtained from the objects. Advanced signal processing technique will be required to be developed to accomplish this task.",Hardware,Security & Surveillance,,
Ministry of Petroleum and Natural Gas,AJ129,5,Technological advances for Retail Outlets,"A software can be developed for Dispensing Unit of petrol pump, which would have a feature to convey the customer about the actual quantity product delivered to the customer after fuelling. Similarly about the quality of product, if the product is off specification. This sensor should have a facility to meausre the fuel quality and quantity and display it along with some quality parameters too.",Software,Smart Communication,,
Dr. B R Ambedkar Institute of Technology,DS164,5,Development of App to capture the field patrolling track of frontline staff in their forest beat jurisdiction,"""Develop an app to capture information related to field patrolling officer for forest and wildlife asset for patrolling personnel posted in field. Following information can be recorded (1) location for their safety, (2) asset, location, and other information about the asset like weight, etc depending on the asset.
A major requirement of this app will be offline abilities. It should work without internet access. This can be done by having sync functionality and subsequent edits should be recorded in the app and synced later on.""",Software,Miscellaneous,,
"National Jute Board, Min of Textiles",AR247,5,Solution For Implementing and tracking of certified jute seeds packaging from the suppliers to jute farmers in india.,Implementing and tracking of certified jute seeds packaging from the suppliers to jute farmers in india.,Software,Software - Web App development,,
Indian Space Research Organisation (ISRO),NM390,5,AI/ML based system for deriving value added parameters using satellite surface observations,"Sub-surface information of the ocean like the mixed layer depth (MLD), sonic layer depth (SLD), tropical cyclone heat potential (TCHP) etc. is very useful in wide variety of applications such as air-sea interaction studies, Naval applications, cyclone genesis and forecasting etc. This information is available either from in situ measurements or from Numerical models. 

In situ measurements in the ocean are quite sparse while the numerical models have inherent errors in simulating this information. Satellites provide wide spatial coverage of the oceans; however, they only give ocean surface information. Assuming that the derived quantities of the deeper ocean such as MLD, SLD, TCHP etc have signatures in the ocean surface as well, an artificial intelligence based technique linking the satellite surface observations of the ocean with these sub-surface  quantities, may be envisaged. 
Satellite observations of sea surface temperature (SST), sea surface salinity (SSS), sea surface height anomaly (SSHA) and sea surface wind speed (WS) collocated with MLD, SLD, TCHP derived from in situ measurements (ARGO floats/moored buoys) can be used as training data set where we try develop a relationship between SST, SSS, SSHA, WS and the derived quantities MLD, TCHP and SLD. 

In this problem the participants must develop a software to generate MLD, SLD and TCHP using satellite data (SST, SSS, SSHA, WS)",Software,Miscellaneous,,
Indian Space Research Organisation (ISRO),NM393,5,Field Data Analysis and Automated feature validation from crowd sourced field photos;,"Bhuvan is widely used for crowd sourcing and millions of photos are uploaded everyday pertaining to different subjects of interest like crops, dams, water bodies, prominent locations, grievances, infrastructure etc. Also, this has become an important platform for most of the ministerial activities, where in accountability and financial sanctions etc are also linked. Such important activities need more focused and automated validation mechanisms for understanding the photographs and relevance for the purpose.  Hence, extracting information from the photograph is essential.

Develop software to automatically locate and extract text from field photographs. For example, given and image containing a traffic sign, the traffic sign should be identified and its text must be extracted.
data set: https://sid.erda.dk/public/archives/daaeac0d7ce1152aea9b61d9f1e19370/published-archive.html",Software,Miscellaneous,,
Indian Space Research Organisation (ISRO),NM397,5,Voice command driven Web-GIS Applications (mobile/ desktop),"As on date, Bhuvan is driven by GUI based features. Develop software for voice based navigation of Bhuvan portal and/or applications listed on Bhuvan portal.

Solution can be provided for at-least 2 languages-
1.  Language-1: Hindi or any other Indian regional language. (Participant may have to prepare the data-sets for desired language, and may also use online datasets, If available)
2. Language-2: English (Participant may use online available datasets).

Specific focus should be on providing voice-based navigation for Web-GIS applications.",Software,Miscellaneous,,
AICTE-MIC,IC484,5,Student Innovation,Smart Textiles,Hardware,Smart Textiles,,
Adani Port and SEZ Ltd,SM320,6,To Predict the Optimum Vessel Turnaround Time,"1.	At present, Adani operates more than 45 Berths PAN India and approximately 4000 Vessels calling at our Port.
2.	The vessel agents share the ETA by which Port Authorities manage the resource and estimates the TAT.
3.	Vessel TAT are dependent on various Factors like the productivity, resource allocated, Tide etc.
4.	The solution should be such that the Port Authorities are able to effectively predict the Optimum TAT which yields maximum revenue by clearly optimizing the resources used.  
Relooking at the problem:
1.	Can out Current Terminal Operating system (TOS) predict using the available data points?
2.	Do we require an analytical engine to run algorithms?
3.	Will Live Dashboard help to control & monitor the Vessel Operation?
4.	Say our current prediction is 70% accurate we would definitely want to increase the prediction accuracy by 10%.
5.	Can ML be implemented such that the same vessel calling at our port month after month the prediction is actually very accurate?
6.	All vessel related information, resources & Tariff for maximum revenue will be provided. Connections to our DB and Data warehouse access are possible.
If we look at the entire process:
1.	Vessel agent submits the ETA
2.	Port Authority does the berth and resource planning.
3.	Operations are undertaken.
4.	Changes in Planned TAT.
5.	Revision in TAT
6.	Other Vessels incoming are affected by such changes in TAT.
7.	New TAT Prediction for other incoming vessels.",Software,Software - Web App development,,https://www.sih.gov.in/uploads/psData/SmartIndiaHackathonOptimumVesselTAT20191130144015.pdf
Ministry of Women and Child Development,AS37,6,"In PFMS implementation, NGOs registration may be approved by the concerned Ministry within a specific period. Otherwise, it should be deleted/rejected automatically by the PFMS portal itself. So that fresh registration can be done again by the implementing agency. For committed expenditure like salaries, pensions etc, direct link for sanction and release of funds to the Autonomous bodies to be made on quarterly basis. However, while considering final release UC/Account and UB should be taken care of.","In PFMS implementation, there are new NGO registration applications. We are looking for software module which would achive below desired objective. (1) Registration of NGOs may be approved by the concerned Ministry within a specific period. Otherwise, it should be deleted/rejected automatically by the PFMS portal itself. So that fresh registration can be done again by the implementing agency. (2) For committed expenditure like salaries, pensions etc, direct link for sanction and release of funds to the Autonomous bodies to be made on quarterly basis. However, while considering final release UC/Account and UB  should be taken care of.",Software,Finance,,
Bureau of Police Research & Development,RK58,6,Digital Solution to Combat Bribery & Justice Restoration System,"With our aim to fight against bribery, we seek Digital Solution to Combat Bribery & Justice Restoration System for better policing and improved public delivery system. Solution should (1) Provide efficient ways of public delivery system for combating bribery (2) Reporting bribery incidences to authorities. You may add value addition features to your solution.",Software,Security & Surveillance,,
Gov of Uttarakhand,MK103,6,"Theoretically the bridges are designed to have a life span of 50 years. However, practically the life span of bridges varies between 30 to 40 years. Therefore, it is required to redesign the bridges of length 50 m based on geomorphic condition. The solution must be of low cost and long lasting.","Theoretically the bridges are designed to have a life span of 50 years. However, practically the life span of bridges varies between 30 to 40 years. Therefore, it is required to redesign the bridges of length 50 m based on geomorphic condition. The solution must be low cost and long lasting. Design a software system to predict life of a bridge depending on various conditions of environment, take inputs as design of bridge, latitute and longitude of bridge, access some API to get information about predicted environmental conditions and use that data to predict life of the bridge. This system should be used to modify the design to increase the life of the bridge.",Software,Travel and Tourism,,
"Department of Empowerment of Persons with Disabilities, Ministry of Social Justice and Empowerment",PD150,6,Problem Statement From PDUNIPPD (Software),"""Technology or governance- related challenges/problem faced by Institute 1. Improvement in Patient care Management System (PMS) Patient care management system allows for delivery of real time services that can enable individuals to learn work, socialize and interact with community with without being subject to physical barriers, ex: ERP – (Entrepreneurship Resource Planning) software to be developed for efficient management of academic activities and service activities in the Prosthetics & Orthotics department. The department serve 4 ½ year Bachelor degree course in Prosthetics & Orthotics and Master in Prosthetics & Orthotics. Beside that Prosthetics & Orthotics department has assessment, fabrication and fitment Prosthetics & Orthotics lab. 2. Virtual Technology Virtual Technology means the potential to try out – of - reach experience such as climbing a mountain, skateboarding or swimming in the sea perhaps for the first time. Virtual Technology is useful for Prosthetics & Orthotics. It is useful for enabling physical activities so that patient can improve impairment activities limitation and participation. Through the usage of virtual technology alike in mobile gyroscope or accelerometer. 3. Technology integration and up gradation The main challenges that face both Institute and decision maker is how they are to integrate technologies and services in everyday routine and Institute how can take advantages. Solution for ambulation and during activities of daily living by technology integration in P&O aids appliance for Divyangjan. Software/e-governance 1. One step easy software based Job tracker for disabled (divyangjan) 2. Health guide monitor to check well-being and fitness quotient 3. Portable Stress monitor to devise solutions for stress based on physiological parameters
Design an integrated system to provide above facilities and/or provide a facility to integrate them with eachother.""",Software,Miscellaneous,,https://www.sih.gov.in/uploads/psData/HACKTHON2020PDUNIPPDMODIFIED20191202173746.pdf
Ministry of Rural Development,MK200,6,"Automation mechanism for image capturing, processing, standardization, evaluation, classification leading to better decision making results for various programs","Images are captured as part of validation/proof under various programs for separate reasons.

* Images of houses being constructed under PMAY-G, works/assets created under MGNREGA, PDFs (Placement documents, Offer letter,
Salary Slips etc.) being uploaded under DDUGKY validating proof of employment, Pictures of Works like Road Construction/Upgradation,
Drain Construction/Upgradation, Canal Irrigation Construction etc. under Rurban.PMGSY Program are captured.
Pics are majorly being uploaded through Mobile App having timestamp & geo tagged data. Physical verification/review of images is done for
each pic. Collectively, over 8 crore images have been collected in multiple DBs.

It is required that an automated solution (including Deep learning, image processing algorithms, AI algorithms etc.) be developed which is
able to automatically identify the type of image (preferred 3D capture), classify and segment, validate and categorize nature of image type,
identify the object, define boundaries etc. highlight duplicates (Plagiarism) , invalid pics etc. A software may be developed which at time of
photo capture is able to capture, analyse and classify pixels, read text (OCR, Google lens etc.) and help in defining type. Would be helpful if it
is able to calculate length, breadth, width (depth) etc. also.

A holistic solution (Automation) is required which can help address these gaps, simplify the process and provide better results. The solution
may reference 3D image (GIF), image processing technologies, image analysis, optimization, segmentation, and restoration, algorithm,
computer vision and image processing (CVIP) technologies etc. Would help if solution devised is light weight (size of photo capture) and using
open source tools.
Sample Data Required: No",Software,Software - Web App development,,
Govt. of Bihar (DOA),NS270,6,Estimation of crop yield using modern ICT tools which is quick and reliable for making a realistic plan for procurement and to compensate farmers for yield loss if any.,Estimation of crop yield using modern ICT tools which is quick and reliable for making a realistic plan for procurement and to compensate farmers for yield loss if any. (current methods take months in crop cutting experiments and farmers have to wait for months to get compensated in case of loss etc.),Software,Agriculture and Rural Development,,
Bureau of Police Research & Development,RK307,6,Detection of Child Predators/Cyber Harassers on Social Media,"•	Online predators try to gradually seduce their targets through attention, affection, kindness, and even gifts, and often devote considerable time, money and energy to this effort. They are aware of the latest music and hobbies likely to interest kids. They listen to and sympathize with kids' problems. They also try to ease young people's inhibitions by gradually introducing sexual content into their conversations or by showing them sexually explicit material. 
•	Desired Solution : The solution will  detect  suspect  profiles based on child grooming behavior patterns  followers, hate speech provokers, stalking and bullying mentality profiles and explicit content explorers ( postings, comments) on social media platforms and other websites",Software,Security & Surveillance,,
Department of Science and Technology,PR324,6,Video conference – Eye to eye contact – Mobile App,"Problem: During video calls, often eye to eye contacts are missing because the camera and the screen are misaligned. During the calls, the tendency is to see on the screen and not in the camera, which leads to misaligned conversations. 
Solution desired: It is desired to design some mechanism to align both the video streams so that the conversations are effective.",Hardware,Smart Communication,,
Indian Space Research Organisation (ISRO),NM372,6,Extraction of crop cycle parameters from multi-temporal data,"For a given set of multispectral multi-temporal data with timestamp of one year or more, develop and implement an algorithm for extracting crop cycle parameters.

Participants need to develop a high-performance algorithm to analyse multi-temporal data at each pixel to extracting parameters such as date of sowing, date of harvesting and number of harvests based on temporal profile. 
Data Set link:https://vedas.sac.gov.in/vcms/en/sih2020.html",Software,Agriculture and Rural Development,,
Department of Science and Technology,PR419,6,"1. Quick analysis of quality of cereals, oilseeds and pulses using AI","This will enable the farmer to get better price for better quality. Presently, all produce is treated as having the same composition.",Hardware,Agriculture and Rural Development,,
Cognizant Technology Solutions India Pvt. Ltd,MS452,7,"Designing devices, which would help in easing communication channels between various communication devices and points.","A truly digital public transportation system for buses, trains and feeder services

Explain the general problem statement in simple terms. 
v)	As the population in city grows multifold year on year the commuting times continue to grow. Whether you commute by train (metro/non-metro), bus, smart bike or on feeder services there is no one stop shop for planning your trip using public transport facilities.
vi)	With raising traffic both road and rail, there is no mechanism to track the arrival / departure times, shift between different modes of transport etc.
vii)	Today, the user of public transport facility has to shift between two modes of transport on an average (a train and a bus / a bus and a feeder service to the nearby work location). The uncertainty of when these services are available and how crowded it would be makes it hard plan the trip accordingly. 
viii)	From a government point of view, without knowing the demand at various times, it makes it hard for them to increase / decrease these services for full utilization. Hence, it is important to gauge the demand.

The users of this system are two-fold:
User / Traveler: An end user who uses the public transport services to plan a trip;
Government Authorities: Assess and provide the services according to the need of the users and manage the services based on the demand.

Technology that can address this issue
iv)	A unified system that brings all modes of public transport data into a single source of truth.
v)	A mobile app and website for end users to plan and book travel across multiple public transport facilities railways, bus, metro and feeder services.
vi)	GPS sensors on buses, trains, feeder services where feasible and processing capability
vii)	Payments interface to enable direct payment for the entire trip (that can be scanned for validity at the public transport being used)

Technology platform recommendation 
i)	A cloud database with extensible features
ii)	A distributed database with scalability features 
iii)	Microservice orchestration platform for API integration ( Maps, regional data )  
iv)	On cloud UX for creating a native App
v)	Leverage SMS API gateway
vi)	Leverage ready apps from Azure or AWS 

An example comparison of these services: 
In the UK you can manage all the local commute using the railways using “National Rail” app. This App is a one-stop-shop for users for both trains, London metro tubes, buses etc. An user can plan end to end services using this App. 

For our idea, some of the key customer journeys envisaged using this are.
i)	Fetch schedule times of the buses / trains / feeder services individually
ii)	Book your journey
iii)	Bar code based identification of tickets purchased
iv)	Real time tracking of your service (bus / train) and identify the ETA to reach your destination
v)	Set up alerts for your service
vi)	Send notifications based on channel of choice (SMS / App notifications)

Desired Outcome: 
iv)	User
a.	Provide a seamless, one-stop, end-to-end experience when planning any trip
b.	Show all available options to the user from which he can pick which ones he prefers
c.	No waiting queue at the availed service facility. 
d.	Make bookings/reservations within this service and pay in total the entire amount
v)	Government
a.	Promote/boost railways, state bus transport corporations, sub-urban railway, metro
b.	In the long run, this service can replace state wise bus transport reservation websites with a single website/app leading to huge cost savings
c.	Additional source of revenue in the form of small commission amounts per transaction
d.	Provide a major source of data as the service becomes more popular which can help the Govt. to plan for roads/railways/infrastructure development in the future
e.	Help more transport based entrepreneurs and small businesses to bring their services to the public faster",Hardware,Smart Communication,,
Ministry of Women and Child Development,AS36,7,Network connectivity in remote areas,"1. Rashtriya Mahila Kosh (RMK), established as an autonomous body in 1993 is a national level organization under the aegis of the Ministry of Women and Child Development, for socio-economic empowerment of women. The operating model currently followed by RMK is that of a facilitating agency wherein RMK provides loans to NGO-MFIs termed as Intermediary Organizations (IMOs) which on-lend to Self Help Groups (SHGs) of women. These micro-credit loans are provided to women micro-entrepreneurs in both rural & urban areas, organised in Self-help groups (SHGs) / Joint lender groups (JLGs). . 2. Eligible Intermediary Organizations (IMOs) are Non-Government Organizations (NGOs), Section 8 Companies registered under Companies Act 2013, Urban / Rural Women Co-operative Banks, Co-operative Societies etc. 3. Network connectivity in remote areas – The women beneficiaries (i.e. women micro-entrepreneurs) are not able to access various online services offered by banks, opening of account is delayed, access to email and information of various Government policies / incentives is limited. Solution should also work with 2G mobile network.",Hardware,Smart Communication,,
Bureau of Police Research & Development,RK55,7,Criminal Navigation System/Extractor,Extract Geo Location/ Criminal Navigation using Mobile/Email based Tracking System,Software,Security & Surveillance,,
Ministry of Housing and Urban Affairs,BC79,7,"Cities provide more opportunities for people to grow economically. However, these opportunities are unequal because of knowledge asymmetry. How can we ensure that people have more equal access to better economic opportunities/ jobs?","Cities provide more opportunities for people to grow economically. However, these opportunities are unequal because of the knowledge asymmetry. How can we ensure that people have more equal and wider access to better and relevant economic opportunities/jobs? However, people's access to these opportunities varies due to various factors.  We are looking for a software solution where all the relavant opportunities including jobs, tenders in public domain, freelancing work, etc. would be listed & visible. Sectors can be but not limited to Opportunities in Govenment Sector, Private Sector, Technology, Science, etc.",Software,Finance,,
Government of Andhra Pradesh,KB219,7,Monitoring and Evaluation of Higher Educational Institutions in Andhra Pradesh,Please see Attachment,Software,Software - Web App development,,
Ministry of Communications,PJ236,7,Solution for initiating some kind of alarm to protect underground fiber while digging the road for construction,"Solution for initiating some kind of alarm to protect underground fibre while digging the road for construction any other purpose. Frequent fibre cut is a serious problem being faced by Telecom industry, leading to poor up time of the Telecom Network and poor service to Citizen. Fibre cuts are primarily due to road construction  activities. If at the starting time of digging of road, an alarm can be generated, it may avoid cutting of fibre.",Hardware,Miscellaneous,,
Ministry of Tribal Affairs,DN262,7,"Development of repository of tribal youth talent from various areas such as sports, arts, paintings, dance, culture, social service or any specific area.","Development of repository of tribal youth talent from various areas such as sports, arts, paintings, dance, culture, social service or any specific area. The specialized agencies/authorities involved in promoting such events could also reach out to these individuals for promoting them for advance training or any other support",Software,Miscellaneous,,
Govt.of Sikkim,SG293,7,MIS for Rural development Housing Scheme like Garib Awas Yojana along with GIS application,There is no monitoring system to monitor the progress of construction of houses under Rural Housing schemes.To generate real time statistical report of the ongoing constructions. Design web based dashboard for monitoring and a native mobile application to track the progress of the construction just by taking a photograph by using the application itself.,Software,Agriculture and Rural Development,,
Govt. of Madhya Pradesh,MS338,7,Converting hand written documents as scanned images or photos (in any format) to legible text document using AI extracting important and critical information into database.,"Software should all documents formats of handwritten documents and would convert them in legible text. The analytical tools would be used to identify the critical information available on the documents and would be stored along with identity of documents, crime number ((Thus linking it with all the attributes of the crime through this primary key), identify of document, authorship and other attributes):
1.	Investigation Leads would be identified and would be pushed to Investigation Officer, Volunteers, Observers or the stakeholders as the case may be
2.	Evidences would be saved with # value along with who would prove it in court. Certificate of legal admissibility, relevance and integrity would be provided. Certificates under 65 B would be auto generated to certify the process and authenticity",Software,Software - Web App development,,
Education department Gujarat,AD363,7,Cost Effective harmonic filters.,"Many UPS, Variable frequency Drives, soft starters required to install in many applications in continuous plant industries like Pharmaceuticals, chemical, agro, food, textile etc.
They are the sources of harmonic generation. Because of harmonics, power quality disturbances, voltage deflection, neutral loading, requirement of higher capacity switchgears, life of switchgear decreases.
Also, for neutral loading and unbalancing in the power system occurs and life of distribution devices like transformer will also decreases.
Presently in market many devices like active filters, passive filters are available. But it leads to plant modifications and also its not cost effective solution. It also leads to shut down because of retrofication.
Hence, task is to find out cost effective harmonic filters.
Use of UPS, Variable frequency Drives, soft starters etc. is going to increase day by day. Hence harmonic generation cannot be eliminated.
Problem solution is find out cost effective harmonic filters, which do not demand system modifications.
Pharmaceuticals, chemical, agro, food, textile and other continuous plant industries.
Cost effective harmonic filters if possible to install without system modification then it will benefit power system. 
Reduction in Neutral current, increase in power quality, increase in life of switch gears, cost saving in switch gear cost.
Reduction in Neutral current, increase in power quality, increase in life of switch gears, cost saving in switch gear cost. 
Hence, efficient operation of all continuous plant industries.",Hardware,Miscellaneous,,https://www.sih.gov.in/uploads/psData/GJ820191210125324.pdf
Indian Space Research Organisation (ISRO),NM373,7,Detecting clouds and predicting their movement from INSAT imagery,"INSAT-3D and INSAT-3DR are two geostationary meteorological satellites of India having 6 channel Imager and 19 channel Sounder payloads. The imagery captured in the visible range by INSAT satellite can be used to detect clouds.

Participants need to develop and implement algorithm to detect clouds in INSAT satellite images and predict the location of clouds in subsequent images.
Data Set link:https://vedas.sac.gov.in/vcms/en/sih2020.html",Software,Energy / Renewable Energy,,
Indian Space Research Organisation (ISRO),NM374,7,Nowcasting of Meteorological Satellite Images using AI/ML techniques,"INSAT-3D and INSAT-3DR are two geostationary meteorological satellites of India having 6 channel Imager and 19 channel Sounder payloads.  INSAT-3D and INSAT-3DR Imager acquire images over its footprint every 30 Min. In order to have better revisit these satellites are programmed to acquire images in staggered mode, which provides images over Indian region every 15 Min.

Nowcasting refers to forecasting for a shorter duration (3 to 6 Hrs.). Nowcasting of meteorological images will help in forecasting images with for next 3 hrs.

These Nowcasted images help synoptic meteorologists, administrators and common man for better interpretation and decision support during extreme weather events. 

Machine learning (ML) provides techniques for predicting the new outcomes based on previously known results and Artificial Intelligence (AI) helps in decision making.

Develop an AI/ML based software to generate nowcasted satellite images and its animation loop for next 3 Hrs. at an interval of 30 Min. using data form INSAT-3D and INSAT-3DR.
Data Set link:https://vedas.sac.gov.in/vcms/en/sih2020.html",Software,Miscellaneous,,
Indian Space Research Organisation (ISRO),NM398,7,Change detection and extraction of information / features of interest in RS images using time series information,"Bhuvan - The EOS visualisation platform has large amounts of satellite data along with derived information from various sensors and collateral data. Users of Bhuvan are widely interested in downloading data and carrying out change detection analysis for each of their areas of interest as on date. Utilities for change detection on Bhuvan platform, directly using knowledge base / Deep Learning based algorithms for identifying the changes in given / selected time series data and extracting features of interest changed over time will be a very good value addition for water resources, urban dynamics, infrastructure monitoring and disaster management. This is possible only by identification / detection of features on the fly from RS images, which are more amenable for noise from different implicit processes in atmosphere and data processing algorithms. 


Given time series tiles of Bhuvan Imagery / RS image ( 2 dates ) the system should 
a)	Identify changes and highlight areas of change.
b)	Extract features that are evident from image 2 and not in image1, categorise in known lists i.e. water, roads, buildings, parks, trees
c)	Find features that are missing in image2 w.r.t. image 1. Data Set link:https://vedas.sac.gov.in/vcms/en/sih2020.html",Software,Sustainable Environment,,
Govt. of Bihar (DOA),PK416,7,Enabling transparent price discovery and forecasting of crop arrival along with management and utilization of price stabilization funds in the case of agri - commodities,Develop an application for transparent price discovery from different Mandis and forecasting of crop arrival along with management and utilization of price stabilization funds in case of agri-commodities. Use a multi-level strategy for selected key crops to forecast and discover prices along with designing and leveraging PSF to avoid fluctuations in prices.,Software,Agriculture and Rural Development,,
AICTE-MIC,IC475,7,Student Innovation,Food Technology,Hardware,Food Technology,,
AICTE-MIC,IC486,7,Student Innovation,Sports & Fitness,Hardware,Sports and Fitness,,
